/TN0/D (Vbs=0) X,/TN0/D (Vbs=0) Y,/TN0/D (Vbs=0.1) X,/TN0/D (Vbs=0.1) Y,/TN0/D (Vbs=0.2) X,/TN0/D (Vbs=0.2) Y,/TN0/D (Vbs=0.3) X,/TN0/D (Vbs=0.3) Y,/TN0/D (Vbs=0.4) X,/TN0/D (Vbs=0.4) Y,/TN0/D (Vbs=0.5) X,/TN0/D (Vbs=0.5) Y
0.4300000000000002,7.050954967602015e-07,0.4300000000000002,1.060196750501102e-06,0.4300000000000002,1.562879459660761e-06,0.4300000000000002,2.257876545636297e-06,0.4300000000000002,3.200659089562158e-06,0.4300000000000002,4.462119779384405e-06
0.4400000000000002,8.606139428711671e-07,0.4400000000000002,1.270402953673926e-06,0.4400000000000002,1.838857219320489e-06,0.4400000000000002,2.610908071179147e-06,0.4400000000000002,3.642292346321343e-06,0.4400000000000002,5.004310615546714e-06
0.4500000000000002,1.041813146434244e-06,0.4500000000000002,1.51027112444247e-06,0.4500000000000002,2.148000316518047e-06,0.4500000000000002,3.000083857893363e-06,0.4500000000000002,4.122511614771503e-06,0.4500000000000002,5.586966635503992e-06
0.4600000000000002,1.250822880434231e-06,0.4600000000000002,1.781633262124528e-06,0.4600000000000002,2.491827223119062e-06,0.4600000000000002,3.426620173489819e-06,0.4600000000000002,4.642246434793597e-06,0.4600000000000002,6.210740858319549e-06
0.4700000000000003,1.489638394690679e-06,0.4700000000000003,2.086176205626266e-06,0.4700000000000003,2.871718158848628e-06,0.4700000000000003,3.89160646945071e-06,0.4700000000000003,5.202310032156322e-06,0.4700000000000003,6.876178930302763e-06
0.4800000000000003,1.760108775833663e-06,0.4800000000000003,2.425441053120845e-06,0.4800000000000003,3.288918111144935e-06,0.4800000000000003,4.396008630234394e-06,0.4800000000000003,5.803402074285715e-06,0.4800000000000003,7.583721728057162e-06
0.4900000000000003,2.063932168916311e-06,0.4900000000000003,2.800825271399411e-06,0.4900000000000003,3.74454048795402e-06,0.4900000000000003,4.940672267106684e-06,0.4900000000000003,6.446111490419385e-06,0.4900000000000003,8.333708176390992e-06
0.5000000000000002,2.402655637997856e-06,0.5000000000000002,3.213586283038041e-06,0.5000000000000002,4.23957099030725e-06,0.5000000000000002,5.526325997485557e-06,0.5000000000000002,7.13091939182775e-06,0.5000000000000002,9.126378311305284e-06
0.5100000000000002,2.777677857861253e-06,0.5100000000000002,3.664845734616078e-06,0.5100000000000002,4.774871492637952e-06,0.5100000000000002,6.153584713670452e-06,0.5100000000000002,7.858202135245489e-06,0.5100000000000002,9.961876609862268e-06
0.5200000000000002,3.190253329701919e-06,0.5200000000000002,4.155593973419944e-06,0.5200000000000002,5.351183849322255e-06,0.5200000000000002,6.822952877526013e-06,0.5200000000000002,8.628234570606385e-06,0.5200000000000002,1.084025559832411e-05
0.5300000000000002,3.64149726616342e-06,0.5300000000000002,4.686694488877623e-06,0.5300000000000002,5.969133623720852e-06,0.5300000000000002,7.534827890534506e-06,0.5300000000000002,9.441193506525987e-06,0.5300000000000002,1.176147973879515e-05
0.5400000000000003,4.132390642856499e-06,0.5400000000000003,5.258888223489874e-06,0.5400000000000003,6.629233777219485e-06,0.5400000000000003,8.289503589083467e-06,0.5400000000000003,1.029716141632537e-05,0.5400000000000003,1.272542958354966e-05
0.5500000000000003,4.663785160201096e-06,0.5500000000000003,5.872797746509762e-06,0.5500000000000003,7.331888373031861e-06,0.5500000000000003,9.08717390799473e-06,0.5500000000000003,1.119613039544238e-05,0.5500000000000003,1.373190617588365e-05
0.5600000000000003,5.236408018341435e-06,0.5600000000000003,6.528931330593193e-06,0.5600000000000003,8.077396351898355e-06,0.5600000000000003,9.927936744481601e-06,0.5600000000000003,1.213800636895003e-05,0.5600000000000003,1.478063566710729e-05
0.5700000000000003,5.850866501671442e-06,0.5700000000000003,7.227686991570395e-06,0.5700000000000003,8.86595543042605e-06,0.5700000000000003,1.081179804210022e-05,0.5700000000000003,1.31226135363378e-05,0.5700000000000003,1.587127411152377e-05
0.5800000000000003,6.507652418655093e-06,0.5800000000000003,7.969356554714171e-06,0.5800000000000003,9.697666161696114e-06,0.5800000000000003,1.173867610122732e-05,0.5800000000000003,1.414969903021726e-05,0.5800000000000003,1.700341239513358e-05
0.5900000000000003,7.207146462977497e-06,0.5900000000000003,8.754129804386394e-06,0.5900000000000003,1.057253618447551e-05,0.5900000000000003,1.270840611003706e-05,0.5900000000000003,1.521893775654131e-05,0.5900000000000003,1.817658124953186e-05
0.6000000000000003,7.949622564837712e-06,0.6000000000000003,9.582098762256884e-06,0.6000000000000003,1.149048467352597e-05,0.6000000000000003,1.372074487844734e-05,0.6000000000000003,1.632993737652527e-05,0.6000000000000003,1.939025630011689e-05
0.6100000000000003,8.735252293888074e-06,0.6100000000000003,1.045326212526437e-05,0.6100000000000003,1.245134699011759e-05,0.6100000000000003,1.477537574744575e-05,0.6100000000000003,1.748224338490503e-05,0.6100000000000003,2.064386309731937e-05
0.6200000000000003,9.564109362754108e-06,0.6200000000000003,1.136752987990027e-05,0.6200000000000003,1.345487951956226e-05,0.6200000000000003,1.587191363785455e-05,0.6200000000000003,1.867534423556485e-05,0.6200000000000003,2.193678208104028e-05
0.6300000000000003,1.04361742652288e-05,0.6300000000000003,1.232472809532758e-05,0.6300000000000003,1.450076467179749e-05,0.6300000000000003,1.700991019612412e-05,0.6300000000000003,1.990867646395887e-05,0.6300000000000003,2.326835343171122e-05
0.6400000000000003,1.135133906796429e-05,0.6400000000000003,1.332460388496836e-05,0.6400000000000003,1.558861601203719e-05,0.6400000000000003,1.818885899026704e-05,0.6400000000000003,2.11816297561001e-05,0.6400000000000003,2.463788176614714e-05
0.6500000000000004,1.230941235988404e-05,0.6500000000000004,1.436683051492044e-05,0.6500000000000004,1.671798348143408e-05,0.6500000000000004,1.940820070660256e-05,0.6500000000000004,2.249355191610926e-05,0.6500000000000004,2.604464064234857e-05
0.6600000000000004,1.331012435027267e-05,0.6600000000000004,1.545101262814748e-05,0.6600000000000004,1.788835866266785e-05,0.6600000000000004,2.066732829755247e-05,0.6600000000000004,2.384375368819855e-05,0.6600000000000004,2.748787684427726e-05
0.6700000000000004,1.4353132094969e-05,0.6700000000000004,1.657669154599241e-05,0.6700000000000004,1.909918004242129e-05,0.6700000000000004,2.196559203222693e-05,0.6700000000000004,2.523151339428481e-05,0.6700000000000004,2.89668144249692e-05
0.6800000000000004,1.543802482051893e-05,0.6800000000000004,1.774335060326301e-05,0.6800000000000004,2.034983822180891e-05,0.6800000000000004,2.330230440479947e-05,0.6800000000000004,2.665608135483742e-05,0.6800000000000004,3.048065849375701e-05
0.6900000000000004,1.656432930868156e-05,0.6900000000000004,1.895042046996498e-05,0.6900000000000004,2.163968102689017e-05,0.6900000000000004,2.46767448604639e-05,0.6900000000000004,2.811668406769745e-05,0.6900000000000004,3.202859874044851e-05
0.7000000000000004,1.773151529837045e-05,0.7000000000000004,2.019728441166535e-05,0.7000000000000004,2.29680184742781e-05,0.7000000000000004,2.608816430478788e-05,0.7000000000000004,2.961252812706647e-05,0.7000000000000004,3.360981269570879e-05
0.7100000000000004,1.893900085897125e-05,0.7100000000000004,2.148328344136748e-05,0.7100000000000004,2.433412755132034e-05,0.7100000000000004,2.753578936917535e-05,0.7100000000000004,3.114280387222421e-05,0.7100000000000004,3.522346873235431e-05
0.7200000000000004,2.018615768793367e-05,0.7200000000000004,2.28077213185047e-05,0.7200000000000004,2.57372567760914e-05,0.7200000000000004,2.901882641252977e-05,0.7200000000000004,3.270668876244291e-05,0.7200000000000004,3.686872881661044e-05
0.7300000000000004,2.147231628649205e-05,0.7300000000000004,2.416986935498912e-05,0.7300000000000004,2.717663050915383e-05,0.7300000000000004,3.053646524666656e-05,0.7300000000000004,3.430335048068806e-05,0.7300000000000004,3.854475102155296e-05
0.7400000000000004,2.279677097014812e-05,0.7400000000000004,2.556897099390178e-05,0.7400000000000004,2.865145299633338e-05,0.7400000000000004,3.208788258016804e-05,0.7400000000000004,3.593194977380547e-05,0.7400000000000004,4.025069181696388e-05
0.7500000000000004,2.415878467491158e-05,0.7500000000000004,2.700424613303272e-05,0.7500000000000004,3.016091212921047e-05,0.7500000000000004,3.367224518186794e-05,0.7500000000000004,3.75916430408482e-05,0.7500000000000004,4.198570815081516e-05
0.7600000000000005,2.555759352596532e-05,0.7600000000000005,2.847489517271066e-05,0.7600000000000005,3.170418291727151e-05,0.7600000000000005,3.5288712770723e-05,0.7600000000000005,3.928158468396752e-05,0.7600000000000005,4.374895933771004e-05
0.7700000000000005,2.699241114203921e-05,0.7700000000000005,2.998010277478867e-05,0.7700000000000005,3.328043067233356e-05,0.7700000000000005,3.693644064329536e-05,0.7700000000000005,4.100092923792505e-05,0.7700000000000005,4.553960876907546e-05
0.7800000000000005,2.846243265598951e-05,0.7800000000000005,3.151904132690541e-05,0.7800000000000005,3.488881391166195e-05,0.7800000000000005,3.861458205334974e-05,0.7800000000000005,4.274883329491595e-05,0.7800000000000005,4.735682545891883e-05
0.7900000000000005,2.99668384394702e-05,0.7900000000000005,3.309087411285736e-05,0.7900000000000005,3.652848699095574e-05,0.7900000000000005,4.03222903601787e-05,0.7900000000000005,4.452445724121604e-05,0.7900000000000005,4.919978543774389e-05
0.8000000000000005,3.150479752679579e-05,0.8000000000000005,3.469475819580523e-05,0.8000000000000005,3.819860248194755e-05,0.8000000000000005,4.205872096330232e-05,0.8000000000000005,4.632696682137093e-05,0.8000000000000005,5.106767300591481e-05
0.8100000000000005,3.307547073976019e-05,0.8100000000000005,3.632984702589047e-05,0.8100000000000005,3.989831331176511e-05,0.8100000000000005,4.382303304130431e-05,0.8100000000000005,4.815553454446142e-05,0.8100000000000005,5.295968185651045e-05
0.8200000000000005,3.467801352102056e-05,0.8200000000000005,3.799529278753109e-05,0.8200000000000005,4.16267746824753e-05,0.8200000000000005,4.561439111196619e-05,0.8200000000000005,5.000934094558593e-05,0.8200000000000005,5.487501607658037e-05
0.8300000000000005,3.631157848846477e-05,0.8300000000000005,3.969024850417292e-05,0.8300000000000005,4.338314578955147e-05,0.8300000000000005,4.743196642974877e-05,0.8300000000000005,5.188757571425401e-05,0.8300000000000005,5.681289103477782e-05
0.8400000000000005,3.797531772663833e-05,0.8400000000000005,4.141386991965984e-05,0.8400000000000005,4.516659135752641e-05,0.8400000000000005,4.927493823525627e-05,0.8400000000000005,5.37894387000141e-05,0.8400000000000005,5.877253416257551e-05
0.8500000000000005,3.966838483378077e-05,0.8500000000000005,4.316531717577426e-05,0.8500000000000005,4.69762830100421e-05,0.8500000000000005,5.114249486976333e-05,0.8500000000000005,5.571414080440591e-05,0.8500000000000005,6.075318563570257e-05
0.8600000000000005,4.138993674437915e-05,0.8600000000000005,4.494375630507231e-05,0.8600000000000005,4.88114004900795e-05,0.8600000000000005,5.303383476635256e-05,0.8600000000000005,5.766090476728303e-05,0.8600000000000005,6.275409896201002e-05
0.8700000000000006,4.31391353475014e-05,0.8700000000000006,4.674836055709973e-05,0.8700000000000006,5.067113274453948e-05,0.8700000000000006,5.494816732777166e-05,0.8700000000000006,5.962896585470711e-05,0.8700000000000006,6.47745414816721e-05
0.8800000000000006,4.49151489207128e-05,0.8800000000000006,4.857831157462108e-05,0.8800000000000006,5.255467888568896e-05,0.8800000000000006,5.688471369985757e-05,0.8800000000000006,6.161757245495157e-05,0.8800000000000006,6.681379478541624e-05
0.8900000000000006,4.671715339829492e-05,0.8900000000000006,5.04328004348256e-05,0.8900000000000006,5.446124904041438e-05,0.8900000000000006,5.884270744831542e-05,0.8900000000000006,6.362598658864989e-05,0.8900000000000006,6.88711550563202e-05
0.9000000000000006,4.854433349098116e-05,0.9000000000000006,5.231102856872853e-05,0.9000000000000006,5.639006509679779e-05,0.9000000000000006,6.082139514577757e-05,0.9000000000000006,6.565348433876407e-05,0.9000000000000006,7.09459333405829e-05
0.9100000000000006,5.039588367269528e-05,0.9100000000000006,5.421220857032056e-05,0.9100000000000006,5.834036135630957e-05,0.9100000000000006,6.282003687538423e-05,0.9100000000000006,6.769935620575945e-05,0.9100000000000006,7.303745575255887e-05
0.9200000000000006,5.22710090479625e-05,0.9200000000000006,5.613556490546476e-05,0.9200000000000006,6.031138509888858e-05,0.9200000000000006,6.483790665662222e-05,0.9200000000000006,6.976290739318537e-05,0.9200000000000006,7.514506361922518e-05
0.9300000000000006,5.416892611191987e-05,0.9300000000000006,5.808033452921202e-05,0.9300000000000006,6.230239706736095e-05,0.9300000000000006,6.687429279875906e-05,0.9300000000000006,7.184345802868155e-05,0.9300000000000006,7.726811356910664e-05
0.9400000000000006,5.608886341322331e-05,0.9400000000000006,6.004576741905245e-05,0.9400000000000006,6.431267187701148e-05,0.9400000000000006,6.892849818692433e-05,0.9400000000000006,7.394034332529288e-05,0.9400000000000006,7.940597757052802e-05
0.9500000000000006,5.803006212873105e-05,0.9500000000000006,6.20311270307133e-05,0.9500000000000006,6.634149835562324e-05,0.9500000000000006,7.099984050565697e-05,0.9500000000000006,7.605291368782861e-05,0.9500000000000006,8.155804292388269e-05
0.9600000000000006,5.999177655762594e-05,0.9600000000000006,6.403569068235845e-05,0.9600000000000006,6.838817981893575e-05,0.9600000000000006,7.308765240456109e-05,0.9600000000000006,7.818053476886196e-05,0.9600000000000006,8.372371221240305e-05
0.9700000000000006,6.197327454163564e-05,0.9700000000000006,6.605874987248311e-05,0.9700000000000006,7.045203428617842e-05,0.9700000000000006,7.519128161055095e-05,0.9700000000000006,8.032258747880132e-05,0.9700000000000006,8.590240321570551e-05
0.9800000000000006,6.397383781721347e-05,0.9800000000000006,6.809961053635598e-05,0.9800000000000006,7.253239464011333e-05,0.9800000000000006,7.731009099101017e-05,0.9800000000000006,8.247846795429491e-05,0.9800000000000006,8.809354879014665e-05
0.9900000000000007,6.599276230490388e-05,0.9900000000000007,7.015759324551558e-05,0.9900000000000007,7.462860873584147e-05,0.9900000000000007,7.944345857204553e-05,0.9900000000000007,8.464758748904345e-05,0.9900000000000007,9.029659671978872e-05
1.000000000000001,6.802935834063327e-05,1.000000000000001,7.223203335457646e-05,1.000000000000001,7.674003946245124e-05,1.000000000000001,8.159077751585565e-05,1.000000000000001,8.682937243089444e-05,1.000000000000001,9.251100954152496e-05
1.010000000000001,7.008295085328589e-05,1.010000000000001,7.432228109937662e-05,1.010000000000001,7.886606476144698e-05,1.010000000000001,8.375145606106256e-05,1.010000000000001,8.902326404888109e-05,1.010000000000001,9.473626434767227e-05
1.020000000000001,7.215287949263644e-05,1.020000000000001,7.642770165033254e-05,1.020000000000001,8.100607760573563e-05,1.020000000000001,8.592491742968314e-05,1.020000000000001,9.122871837365399e-05,1.020000000000001,9.697185256908448e-05
1.030000000000001,7.423849871147472e-05,1.030000000000001,7.854767512470037e-05,1.030000000000001,8.315948594279194e-05,1.030000000000001,8.811059970422856e-05,1.030000000000001,9.344520601452822e-05,1.030000000000001,9.921727974160943e-05
1.040000000000001,7.633917780556957e-05,1.040000000000001,8.068159656128797e-05,1.040000000000001,8.532571260547102e-05,1.040000000000001,9.030795567822493e-05,1.040000000000001,9.567221195615013e-05,1.040000000000001,0.0001014720652584718
1.050000000000001,7.84543009149502e-05,1.050000000000001,8.282887586102141e-05,1.050000000000001,8.750419519375064e-05,1.050000000000001,9.25164526832492e-05,1.050000000000001,9.790923533756552e-05,1.050000000000001,0.0001037357421109423
1.060000000000001,8.058326698983586e-05,1.060000000000001,8.498893769661107e-05,1.060000000000001,8.9694385930532e-05,1.060000000000001,9.473557239537828e-05,1.060000000000001,0.0001001557892162571,1.060000000000001,0.0001060078566194439
1.070000000000001,8.272548972438803e-05,1.070000000000001,8.716122139440974e-05,1.070000000000001,9.189575149442896e-05,1.070000000000001,9.696481062374589e-05,1.070000000000001,0.0001024114003195067,1.070000000000001,0.0001082879681570381
1.080000000000001,8.488039746133037e-05,1.080000000000001,8.934518079139193e-05,1.080000000000001,9.410777283230569e-05,1.080000000000001,9.920367708369947e-05,1.080000000000001,0.0001046756087852406,1.080000000000001,0.0001105756488670456
1.090000000000001,8.704743307032002e-05,1.090000000000001,9.154028407002264e-05,1.090000000000001,9.632994495413986e-05,1.090000000000001,0.0001014516951568678,1.090000000000001,0.0001069479678943215,1.090000000000001,0.0001128704833763851
1.100000000000001,8.922605380281652e-05,1.100000000000001,9.374601357361836e-05,1.100000000000001,9.856177671259482e-05,1.100000000000001,0.0001037084016402461,1.100000000000001,0.0001092280437960678,1.100000000000001,0.0001151720685060374
1.110000000000001,9.141573112603593e-05,1.110000000000001,9.59618656046315e-05,1.110000000000001,0.0001008027905695287,1.110000000000001,0.000105973346486242,1.110000000000001,0.0001115154152286139,1.110000000000001,0.0001174800129798996
1.120000000000001,9.361595053843318e-05,1.120000000000001,9.818735020813261e-05,1.120000000000001,0.0001030525223514682,1.120000000000001,0.0001082460925354435,1.120000000000001,0.0001138096732355593,1.120000000000001,0.0001197939371331447
1.130000000000001,9.582621136899509e-05,1.130000000000001,0.0001004219909425864,1.130000000000001,0.0001053105209959327,1.130000000000001,0.0001105262152437074,1.130000000000001,0.0001161104208802078,1.130000000000001,0.000122113472621081
1.140000000000001,9.804602656247596e-05,1.140000000000001,0.0001026653246398757,1.140000000000001,0.0001075763482903153,1.140000000000001,0.0001128133024050228,1.140000000000001,0.0001184172729585609,1.140000000000001,0.0001244382621293761
1.150000000000001,0.0001002749224525618,1.150000000000001,0.0001049169011563569,1.150000000000001,0.0001098495786048818,1.150000000000001,0.0001151069538714481,1.150000000000001,0.0001207298557120944,1.150000000000001,0.000126767959086415
1.160000000000001,0.0001025124385247952,1.160000000000001,0.0001071762831165936,1.160000000000001,0.0001121297986213098,1.160000000000001,0.0001174067812712954,1.160000000000001,0.0001230478065412384,1.160000000000001,0.0001291022273784488
